13:47:55.049 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5580 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
13:47:55.053 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:16:34.627 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5701 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:16:34.630 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:17:24.390 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5712 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:17:24.394 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:17:43.204 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5717 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:17:43.206 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:21:47.919 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5730 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:21:47.924 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:30:49.516 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5763 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:30:49.524 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
14:41:07.590 [main] INFO  p.s.N.CustomerApplication - Starting CustomerApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5789 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:41:07.593 [main] INFO  p.s.N.CustomerApplication - No active profile set, falling back to default profiles: default
14:41:09.098 [main] INFO  p.s.N.CustomerApplication - Started CustomerApplication in 1.857 seconds (JVM running for 2.674)
14:41:41.180 [main] INFO  p.s.N.CustomerServiceImplTest - Starting CustomerServiceImplTest using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5793 (started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:41:41.186 [main] INFO  p.s.N.CustomerServiceImplTest - No active profile set, falling back to default profiles: default
14:41:44.074 [main] INFO  p.s.N.CustomerServiceImplTest - Started CustomerServiceImplTest in 3.272 seconds (JVM running for 4.819)
14:42:49.329 [main] INFO  p.s.N.CustomerServiceImplTest - Starting CustomerServiceImplTest using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 5811 (started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
14:42:49.336 [main] INFO  p.s.N.CustomerServiceImplTest - No active profile set, falling back to default profiles: default
14:42:52.090 [main] INFO  p.s.N.CustomerServiceImplTest - Started CustomerServiceImplTest in 3.174 seconds (JVM running for 4.684)
16:11:34.379 [main] INFO  p.s.N.CustomerServiceImplTest - Starting CustomerServiceImplTest using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6012 (started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:11:34.386 [main] INFO  p.s.N.CustomerServiceImplTest - No active profile set, falling back to default profiles: default
16:11:37.285 [main] INFO  p.s.N.CustomerServiceImplTest - Started CustomerServiceImplTest in 3.528 seconds (JVM running for 5.126)
16:11:44.639 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6018 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:11:44.640 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
16:12:50.967 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6046 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:12:50.969 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
16:13:23.498 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6053 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:13:23.499 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
16:14:26.726 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6063 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:14:26.731 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
16:14:54.710 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6078 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:14:54.712 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
16:17:39.644 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6094 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
16:17:39.647 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
17:44:19.135 [main] INFO  p.s.N.CustomerApplication - Starting CustomerApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6442 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
17:44:19.137 [main] INFO  p.s.N.CustomerApplication - No active profile set, falling back to default profiles: default
17:44:20.726 [main] INFO  p.s.N.CustomerApplication - Started CustomerApplication in 1.983 seconds (JVM running for 2.833)
17:53:37.993 [main] INFO  p.springbasic.CommandLineApplication - Starting CommandLineApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 6483 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
17:53:37.995 [main] INFO  p.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
23:10:11.651 [main] INFO  p.springbasic.CustomerApplication - Starting CustomerApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 7727 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
23:10:11.654 [main] INFO  p.springbasic.CustomerApplication - No active profile set, falling back to default profiles: default
23:10:28.988 [main] INFO  p.springbasic.CustomerApplication - Starting CustomerApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 7733 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
23:10:28.990 [main] INFO  p.springbasic.CustomerApplication - No active profile set, falling back to default profiles: default
23:27:34.470 [main] INFO  prgms.springbasic.CommandLineApplication - Starting VoucherApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 7930 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
23:27:34.473 [main] INFO  prgms.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
23:28:19.882 [main] INFO  prgms.springbasic.CommandLineApplication - Starting VoucherApplication using Java 16.0.2 on sin-eonjuui-MacBookPro.local with PID 7944 (/Users/eonju/IdeaProjects/SpringBasic/target/classes started by eonju in /Users/eonju/IdeaProjects/SpringBasic)
23:28:19.883 [main] INFO  prgms.springbasic.CommandLineApplication - No active profile set, falling back to default profiles: default
